"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1765317600";"10.12.2025 00:00";"923,18";"440,98";"823,4";"401"
"1765318500";"10.12.2025 00:15";"929,09";"433,93";"817,6";"373,7"
"1765319400";"10.12.2025 00:30";"901,28";"435,96";"807,9";"376"
"1765320300";"10.12.2025 00:45";"910,34";"427,05";"823,9";"377,2"
"1765321200";"10.12.2025 01:00";"860,79";"439,33";"760,3";"349"
"1765322100";"10.12.2025 01:15";"865,57";"454,62";"755,9";"347,4"
"1765323000";"10.12.2025 01:30";"865,32";"411,8";"753,2";"356,6"
"1765323900";"10.12.2025 01:45";"856,51";"405,52";"745";"352,6"
"1765324800";"10.12.2025 02:00";"807,25";"420,13";"718,1";"352,5"
"1765325700";"10.12.2025 02:15";"785,6";"459,13";"728,8";"361,2"
"1765326600";"10.12.2025 02:30";"780,53";"442,09";"731,9";"355,3"
"1765327500";"10.12.2025 02:45";"805,94";"427,11";"735,9";"353,8"
"1765328400";"10.12.2025 03:00";"840,91";"417,71";"734,2";"350,4"
"1765329300";"10.12.2025 03:15";"824,29";"419,49";"726,3";"341,1"
"1765330200";"10.12.2025 03:30";"810,68";"414,36";"727";"341,4"
"1765331100";"10.12.2025 03:45";"831,01";"444,62";"733,6";"334,7"
"1765332000";"10.12.2025 04:00";"825,01";"399,71";"736,2";"330,6"
"1765332900";"10.12.2025 04:15";"824,15";"376";"737,7";"329,4"
"1765333800";"10.12.2025 04:30";"834,15";"376,21";"739,3";"325,4"
"1765334700";"10.12.2025 04:45";"828,16";"391,8";"738";"331,7"
"1765335600";"10.12.2025 05:00";"840,12";"392,02";"762,3";"332,5"
"1765336500";"10.12.2025 05:15";"838,42";"385,51";"762,4";"330,4"
"1765337400";"10.12.2025 05:30";"846,52";"386,74";"763,4";"347,5"
"1765338300";"10.12.2025 05:45";"859,66";"382,35";"768,4";"341,3"
"1765339200";"10.12.2025 06:00";"908,95";"372,47";"844,1";"320"
"1765340100";"10.12.2025 06:15";"935,57";"392,01";"864,6";"335,4"
"1765341000";"10.12.2025 06:30";"953,45";"442,66";"881,2";"386,8"
"1765341900";"10.12.2025 06:45";"989,32";"500,75";"899,5";"395,3"
"1765342800";"10.12.2025 07:00";"1033,16";"450,72";"956,5";"396,7"
"1765343700";"10.12.2025 07:15";"1068,04";"450,44";"982";"393,8"
"1765344600";"10.12.2025 07:30";"1076,36";"429,22";"998,4";"399,4"
"1765345500";"10.12.2025 07:45";"1085,11";"430,01";"1015,9";"400,5"
"1765346400";"10.12.2025 08:00";"1095,71";"492,63";"1057,4";"406,1"
"1765347300";"10.12.2025 08:15";"1113,68";"485,59";"1040,6";"398,6"
"1765348200";"10.12.2025 08:30";"1123";"484,39";"1057,3";"418,3"
"1765349100";"10.12.2025 08:45";"1110,01";"474,21";"1066,1";"410,3"
"1765350000";"10.12.2025 09:00";"1112,46";"464,12";"1100,1";"432,1"
"1765350900";"10.12.2025 09:15";"1134,83";"449,1";"1100,7";"419,8"
"1765351800";"10.12.2025 09:30";"1152";"417,31";"1101,5";"410,2"
"1765352700";"10.12.2025 09:45";"1097,58";"447,69";"1069,4";"456,1"
"1765353600";"10.12.2025 10:00";"1099,1";"481,52";"1056,1";"448,4"
"1765354500";"10.12.2025 10:15";"1129,64";"465,98";"1069,1";"435,6"
"1765355400";"10.12.2025 10:30";"1142,87";"449,36";"1075,5";"410"
"1765356300";"10.12.2025 10:45";"1157,76";"453,84";"1078,7";"405,5"
"1765357200";"10.12.2025 11:00";"1139,35";"454,81";"1074,4";"426,4"
"1765358100";"10.12.2025 11:15";"1129,52";"455,78";"1098,9";"423,6"
"1765359000";"10.12.2025 11:30";"1138,17";"453,71";"1129,2";"437,8"
"1765359900";"10.12.2025 11:45";"1151,65";"470,01";"1113,4";"433,3"
"1765360800";"10.12.2025 12:00";"1151,25";"494,94";"1090,6";"443,3"
"1765361700";"10.12.2025 12:15";"1176,72";"500,85";"1099";"453,7"
"1765362600";"10.12.2025 12:30";"1188,1";"500,23";"1103,1";"459,6"
"1765363500";"10.12.2025 12:45";"1193,09";"506,88";"1088,1";"433,7"
"1765364400";"10.12.2025 13:00";"1166,31";"579,4";"1093,4";"487,6"
"1765365300";"10.12.2025 13:15";"1169,84";"576,96";"1113,5";"486,7"
"1765366200";"10.12.2025 13:30";"1170,55";"530,46";"1099,7";"452"
"1765367100";"10.12.2025 13:45";"1190,56";"512,23";"1109,1";"450,6"
"1765368000";"10.12.2025 14:00";"1152,82";"577,97";"1103,2";"547"
"1765368900";"10.12.2025 14:15";"1148,57";"593,99";"1091,4";"562,1"
"1765369800";"10.12.2025 14:30";"1155,5";"622,06";"1105,4";"566,8"
"1765370700";"10.12.2025 14:45";"1180,14";"640,55";"1089,2";"539,9"
"1765371600";"10.12.2025 15:00";"1195,26";"670,27";"1118,5";"571,3"
"1765372500";"10.12.2025 15:15";"1202,87";"654,72";"1113,3";"555,6"
"1765373400";"10.12.2025 15:30";"1214,52";"655,77";"1119,8";"539,9"
