"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1765404000";"11.12.2025 00:00";"909,53";"604,47";"903,5";"652,9"
"1765404900";"11.12.2025 00:15";"907,69";"600,56";"890,1";"631,7"
"1765405800";"11.12.2025 00:30";"884,03";"598,78";"877,9";"631"
"1765406700";"11.12.2025 00:45";"871,78";"602,21";"863,9";"629,7"
"1765407600";"11.12.2025 01:00";"846,06";"649,58";"830,6";"642,8"
"1765408500";"11.12.2025 01:15";"839,16";"650,37";"817,4";"642,3"
"1765409400";"11.12.2025 01:30";"839,32";"657,82";"801,2";"634,6"
"1765410300";"11.12.2025 01:45";"822,75";"677,31";"800,1";"640,4"
"1765411200";"11.12.2025 02:00";"805,67";"771,19";"796";"641,2"
"1765412100";"11.12.2025 02:15";"815,8";"763,88";"788,9";"638,9"
"1765413000";"11.12.2025 02:30";"810,85";"751,13";"790,6";"638,2"
"1765413900";"11.12.2025 02:45";"815,29";"631,16";"797,5";"638,3"
"1765414800";"11.12.2025 03:00";"805,8";"659,48";"764,8";"634,8"
"1765415700";"11.12.2025 03:15";"796,8";"650,38";"788,2";"647,2"
"1765416600";"11.12.2025 03:30";"776,62";"672,56";"773,5";"634,7"
"1765417500";"11.12.2025 03:45";"772,96";"724,87";"763,5";"625,2"
"1765418400";"11.12.2025 04:00";"770,28";"696,86";"760,7";"622,3"
"1765419300";"11.12.2025 04:15";"788,38";"685,21";"762,6";"620,5"
"1765420200";"11.12.2025 04:30";"787,16";"631,58";"768,6";"610,7"
"1765421100";"11.12.2025 04:45";"789,65";"636,25";"772,3";"600,5"
"1765422000";"11.12.2025 05:00";"793,22";"625,98";"817,8";"592,5"
"1765422900";"11.12.2025 05:15";"794,9";"632,73";"829,5";"588,7"
"1765423800";"11.12.2025 05:30";"823,73";"650,16";"828,7";"580,5"
"1765424700";"11.12.2025 05:45";"839,97";"608,59";"838,4";"583,3"
"1765425600";"11.12.2025 06:00";"893,61";"640,15";"870,3";"598,1"
"1765426500";"11.12.2025 06:15";"917,32";"633,48";"872,7";"591,3"
"1765427400";"11.12.2025 06:30";"941,77";"641,06";"905,6";"598,8"
"1765428300";"11.12.2025 06:45";"962,5";"646,29";"932,8";"586,2"
"1765429200";"11.12.2025 07:00";"1004,56";"623,54";"969,5";"600,6"
"1765430100";"11.12.2025 07:15";"1042,99";"607,74";"999,8";"592,3"
"1765431000";"11.12.2025 07:30";"1061,1";"613,59";"1006,7";"578,6"
"1765431900";"11.12.2025 07:45";"1106,5";"671,3";"1005";"559,2"
"1765432800";"11.12.2025 08:00";"1137,37";"616,94";"1050,5";"556,1"
"1765433700";"11.12.2025 08:15";"1150,45";"606,76";"1057,6";"563,7"
"1765434600";"11.12.2025 08:30";"1121,98";"605,73";"1040";"555,1"
"1765435500";"11.12.2025 08:45";"1115,48";"655,5";"1063,5";"566,4"
"1765436400";"11.12.2025 09:00";"1107,75";"609,63";"1097,9";"560,9"
"1765437300";"11.12.2025 09:15";"1125,71";"617,42";"1108,3";"563,2"
"1765438200";"11.12.2025 09:30";"1164,92";"603,94";"1119,2";"554,9"
"1765439100";"11.12.2025 09:45";"1109,99";"589,41";"1146,6";"559,6"
"1765440000";"11.12.2025 10:00";"1119,53";"566,62";"1145,6";"524,3"
"1765440900";"11.12.2025 10:15";"1156,16";"546,56";"1122,7";"499,2"
"1765441800";"11.12.2025 10:30";"1199,73";"547,02";"1126,8";"485,7"
"1765442700";"11.12.2025 10:45";"1196,53";"556,53";"1139,3";"495"
"1765443600";"11.12.2025 11:00";"1211,37";"566,24";"1144,7";"462,2"
"1765444500";"11.12.2025 11:15";"1229,04";"487,28";"1139,5";"456,1"
"1765445400";"11.12.2025 11:30";"1203,5";"508,45";"1139";"454,9"
"1765446300";"11.12.2025 11:45";"1194,26";"495,54";"1164,7";"485,3"
"1765447200";"11.12.2025 12:00";"";"";"1163";"498,9"
"1765448100";"11.12.2025 12:15";"";"";"1149,6";"493,1"
"1765449000";"11.12.2025 12:30";"";"";"1125,1";"485,3"
"1765449900";"11.12.2025 12:45";"";"";"1136";"479"
"1765450800";"11.12.2025 13:00";"";"";"1112";"474,6"
"1765451700";"11.12.2025 13:15";"";"";"1120,5";"469,3"
"1765452600";"11.12.2025 13:30";"";"";"1125,1";"460,3"
"1765453500";"11.12.2025 13:45";"";"";"1127,3";"453,7"
"1765454400";"11.12.2025 14:00";"";"";"1135";"456,4"
"1765455300";"11.12.2025 14:15";"";"";"1135,3";"446,9"
"1765456200";"11.12.2025 14:30";"";"";"1134,5";"437,1"
"1765457100";"11.12.2025 14:45";"";"";"1133,1";"439,6"
"1765458000";"11.12.2025 15:00";"";"";"1163,2";"411,7"
"1765458900";"11.12.2025 15:15";"";"";"1145,3";"412,5"
"1765459800";"11.12.2025 15:30";"";"";"1141,5";"405"
"1765460700";"11.12.2025 15:45";"";"";"1136,2";"397,9"
